date;ta;rh;pr;wv;wpmx;wd;rf
2020-01-01 00:00;-0,9;94,6;944,6;3,7;7,7;332,2;
2020-01-01 01:00;-0,9;94,3;944,7;3,7;8,3;323,4;0
2020-01-01 02:00;-1;94,2;945;3,2;6,8;323,3;0
2020-01-01 03:00;-1;94;945;3,3;7,2;324,5;0
2020-01-01 04:00;-1,3;94,9;945,2;3,5;7,5;327,8;0
2020-01-01 05:00;-1,5;95,2;945,5;2,9;6;332,6;0
2020-01-01 06:00;-1,7;95,3;945,9;3;5,9;330,2;0
2020-01-01 07:00;-1,9;95,3;945,9;2,6;5,4;327,9;0
2020-01-01 08:00;-2;95,2;946,2;2,8;6,6;326,5;0
2020-01-01 09:00;-2;94,2;946,7;3,4;7,4;327;0
2020-01-01 10:00;-1,9;91,2;946,8;2,6;5,9;324,6;0
2020-01-01 11:00;-2;91,7;947;2,4;5,4;310,4;0
2020-01-01 12:00;-2;91,4;946,6;2;5,6;299,8;0
2020-01-01 13:00;-1,7;90;946;1,5;3,4;275,4;0
2020-01-01 14:00;-1,7;88,9;945,9;1,2;3;264,1;0
2020-01-01 15:00;-2,4;90,5;946,4;1,3;3,5;190,5;0
2020-01-01 16:00;-2,5;89,2;947,3;2,5;4,9;166,4;0
2020-01-01 17:00;-2,3;87,2;947,7;2,5;4,7;162,1;0
2020-01-01 18:00;-1,4;75,4;947,8;2,1;3,3;165,6;0
2020-01-01 19:00;-1;66,1;947,5;2,2;3,3;165,4;
2020-01-01 20:00;-1,5;62;947,4;2,8;4;155,3;0
2020-01-01 21:00;-1;51,5;947,2;2,5;3,6;159,9;
2020-01-01 22:00;-0,3;41,1;947;2,3;3,4;158,2;0
2020-01-01 23:00;0,9;33,1;946,7;1,6;3;150,9;0
2020-01-02 00:00;2;24,1;946,7;0,9;2,4;328,1;0
2020-01-02 01:00;1,6;26,8;946,4;0,8;3;214,5;0
2020-01-02 02:00;2;24;946,4;0,5;2,7;246,2;0
2020-01-02 03:00;1,8;23,2;946,2;1;2,8;325,9;0
2020-01-02 04:00;2,4;20;945,8;0,3;1,7;289;0
2020-01-02 05:00;3;16,3;945,3;1;2,2;168,5;0
2020-01-02 06:00;3,2;15,2;945,4;0,4;1,3;85,5;0
2020-01-02 07:00;3,4;13,5;945,5;1,2;1,9;148,8;0
2020-01-02 08:00;3,5;13,7;945,6;1,9;3,4;154,4;0
2020-01-02 09:00;4,4;13,4;944,9;2,2;3,9;160,1;0
2020-01-02 10:00;5,4;12,5;943,8;2,2;4,3;155,6;0
2020-01-02 11:00;8;8,8;942,2;0,9;2;142,8;0
2020-01-02 12:00;10,2;9,8;940,2;0,6;1,8;253,8;0
2020-01-02 13:00;8,3;16;938;1,9;3,7;172,7;0
2020-01-02 14:00;7,7;13,7;938,4;2,4;5,2;166,3;0
2020-01-02 15:00;7,6;12,3;939;2,3;4,7;151;0
2020-01-02 16:00;7;13,7;940,1;2,6;5,9;156,6;0
2020-01-02 17:00;7,1;13,4;940,7;3,1;6,5;155,9;0
2020-01-02 18:00;7,5;11,2;940,3;3,8;7,3;164,2;0
2020-01-02 19:00;7;12,1;940;3,9;7,9;168,6;0
2020-01-02 20:00;6,8;12,3;939,7;4,2;8,6;169,7;0
2020-01-02 21:00;6,6;14,8;939,5;4;10,4;174;0
2020-01-02 22:00;5,6;23,3;939,6;3,5;9;163;0
2020-01-02 23:00;4,8;22,5;939,7;2,5;7,1;190,1;0
2020-01-03 00:00;4,3;27,6;939,5;3,6;10,3;182,4;0
2020-01-03 01:00;3,7;32,7;939,3;3,3;8,9;182,9;0
2020-01-03 02:00;3,1;35,5;939,2;3,8;9,1;180;0
2020-01-03 03:00;2,9;37,8;938,7;4,2;12,2;182;0
2020-01-03 04:00;2,1;39,4;938,5;4,2;9,5;188,2;0
2020-01-03 05:00;2;40;938,6;5,1;10,6;182,4;0
2020-01-03 06:00;1;44,1;938,6;3,9;8,9;182,9;0
2020-01-03 07:00;-0,3;49,1;939,4;3,1;7,6;174;
2020-01-03 08:00;-0,4;52,1;940,2;5;7,5;162,4;
2020-01-03 09:00;0,2;54;939,7;5,3;11,5;164,8;0
2020-01-03 10:00;0,9;56,2;938,3;5;10,1;168,7;0
2020-01-03 11:00;1,3;58,4;936,9;4,6;9,1;168;0
2020-01-03 12:00;1,2;63,3;935,7;4,1;7,7;165,2;0
2020-01-03 13:00;1,3;66,1;934,6;4,4;9,6;170;0
2020-01-03 14:00;1;68,1;934,4;4,7;10;170,8;0
2020-01-03 15:00;0,2;69,9;935,4;4,3;10,1;179,3;0
2020-01-03 16:00;-0,2;71;936,4;4,2;7,4;172,3;0
2020-01-03 17:00;-0,7;73,9;936,8;4,2;8,6;174,4;0
2020-01-03 18:00;-1,2;79,1;936,9;4;8,1;169,9;0
2020-01-03 19:00;-1,3;82,6;936,8;4,6;9,4;166,2;0
2020-01-03 20:00;-0,6;84,4;936,7;3,8;7,7;179,4;0
2020-01-03 21:00;-0,7;82,9;935,8;4,4;8,4;172,2;0
2020-01-03 22:00;-0,9;82,5;935,8;4;9,7;178,1;0
2020-01-03 23:00;-0,8;88;935,5;3,5;8;174,5;0
2020-01-04 00:00;0,8;90;935;2,7;6,7;191,6;0
2020-01-04 01:00;1,4;88,9;934,2;2,9;6,1;188;0
